,src,dst,time,ext_roll
7305,3,18,1098,0
7306,4,3,1098,0
7307,4,18,1098,0
7308,5,3,1098,0
7309,5,4,1098,0
7310,5,18,1098,0
7311,6,3,1098,0
7312,6,4,1098,0
7313,6,18,1098,0
7314,11,3,1098,0
7315,11,4,1098,0
7316,11,18,1098,0
7317,14,3,1098,0
7318,14,4,1098,0
7319,14,18,1098,0
7320,3,28,1099,0
7321,3,4,1099,0
7322,3,16,1099,0
7323,4,28,1099,0
7324,4,16,1099,0
7325,18,28,1099,0
7326,18,4,1099,0
7327,18,16,1099,0
7328,4,28,1100,0
7329,16,28,1100,0
7330,24,10,1104,0
7331,24,12,1104,0
7332,24,13,1104,0
7333,27,10,1104,0
7334,27,12,1104,0
7335,27,13,1104,0
7336,10,17,1105,0
7337,12,17,1105,0
7338,13,17,1105,0
7339,17,28,1106,0
7340,17,29,1106,0
7341,17,2,1106,0
7342,17,3,1106,0
7343,17,4,1106,0
7344,17,5,1106,0
7345,17,10,1106,0
7346,17,11,1106,0
7347,17,12,1106,0
7348,17,14,1106,0
7349,17,15,1106,0
7350,28,29,1107,0
7351,2,29,1107,0
7352,3,29,1107,0
7353,4,29,1107,0
7354,5,29,1107,0
7355,10,29,1107,0
7356,11,29,1107,0
7357,12,29,1107,0
7358,14,29,1107,0
7359,15,29,1107,0
7360,17,29,1107,0
7361,28,27,1111,0
7362,28,29,1111,0
7363,28,3,1111,0
7364,3,27,1111,0
7365,3,29,1111,0
7366,4,27,1111,0
7367,4,29,1111,0
7368,4,3,1111,0
7369,14,27,1111,0
7370,14,29,1111,0
7371,14,3,1111,0
7372,17,27,1111,0
7373,17,29,1111,0
7374,17,3,1111,0
7375,27,28,1112,0
7376,29,28,1112,0
7377,3,28,1112,0
7378,28,23,1113,0
7379,28,10,1113,0
7380,28,12,1113,0
7381,23,28,1114,0
7382,23,2,1114,0
7383,23,4,1114,0
7384,23,12,1114,0
7385,10,28,1114,0
7386,10,2,1114,0
7387,10,4,1114,0
7388,10,12,1114,0
7389,12,28,1114,0
7390,12,2,1114,0
7391,12,4,1114,0
7392,27,2,1118,0
7393,27,5,1118,0
7394,27,6,1118,0
7395,27,15,1118,0
7396,27,16,1118,0
7397,28,2,1118,0
7398,28,5,1118,0
7399,28,6,1118,0
7400,28,15,1118,0
7401,28,16,1118,0
7402,3,2,1118,0
7403,3,5,1118,0
7404,3,6,1118,0
7405,3,15,1118,0
7406,3,16,1118,0
7407,10,2,1118,0
7408,10,5,1118,0
7409,10,6,1118,0
7410,10,15,1118,0
7411,10,16,1118,0
7412,2,28,1119,0
7413,5,28,1119,0
7414,6,28,1119,0
7415,15,28,1119,0
7416,16,28,1119,0
7417,28,27,1120,0
7418,28,14,1120,0
7419,27,29,1121,0
7420,27,17,1121,0
7421,14,29,1121,0
7422,14,17,1121,0
7423,28,4,1125,0
7424,11,4,1125,0
7425,4,3,1126,0
7426,4,5,1126,0
7427,4,6,1126,0
7428,4,7,1126,0
7429,4,14,1126,0
7430,4,15,1126,0
7431,4,21,1126,0
7432,3,23,1127,0
7433,3,28,1127,0
7434,3,0,1127,0
7435,3,2,1127,0
7436,3,4,1127,0
7437,3,15,1127,0
7438,4,23,1127,0
7439,4,28,1127,0
7440,4,0,1127,0
7441,4,2,1127,0
7442,4,15,1127,0
7443,5,23,1127,0
7444,5,28,1127,0
7445,5,0,1127,0
7446,5,2,1127,0
7447,5,4,1127,0
7448,5,15,1127,0
7449,6,23,1127,0
7450,6,28,1127,0
7451,6,0,1127,0
7452,6,2,1127,0
7453,6,4,1127,0
7454,6,15,1127,0
7455,7,23,1127,0
7456,7,28,1127,0
7457,7,0,1127,0
7458,7,2,1127,0
7459,7,4,1127,0
7460,7,15,1127,0
7461,14,23,1127,0
7462,14,28,1127,0
7463,14,0,1127,0
7464,14,2,1127,0
7465,14,4,1127,0
7466,14,15,1127,0
7467,15,23,1127,0
7468,15,28,1127,0
7469,15,0,1127,0
7470,15,2,1127,0
7471,15,4,1127,0
7472,21,23,1127,0
7473,21,28,1127,0
7474,21,0,1127,0
7475,21,2,1127,0
7476,21,4,1127,0
7477,21,15,1127,0
